job_title,company,location,job_type,category,salary_min,salary_max,experience_required,publication_date,skills,education_level,company_size,benefits,salary_avg,publication_date_BR,cidade,estado,is_remote,salary_avg_z,experience_norm,salary_outlier,experience_outlier,salary_class
Engineering Manager,DataInc,"San Francisco, CA",Remote,Technology,151082,291345,4,2025-11-27 00:00:00,"AWS, Agile, Machine Learning, Kubernetes, MongoDB, Ruby",Master's Degree,1-50 employees,"Health Insurance, 401(k), Unlimited PTO",221213.5,27/11/2025,San Francisco,CA,Sim,3.03139176233896,0.3333333333333333,True,False,High
Engineering Manager,EnterpriseHub,"New York, NY",Remote,Technology,156891,280075,3,2025-11-27 00:00:00,"Java, Agile, Git, SQL, Ruby, Go",PhD,1-50 employees,"Dental, Vision, Annual Bonus",218483.0,27/11/2025,New York,NY,Sim,2.9423363832876968,0.25,True,False,High
Engineering Manager,StartupXYZ,"Seattle, WA",Part-time,Technology,152134,280310,4,2025-11-27 00:00:00,"AWS, Python, Kubernetes, Git",Associate Degree,1000+ employees,"Stock Options, Remote Work Stipend",216222.0,27/11/2025,Seattle,WA,Não,2.8685937676367512,0.3333333333333333,True,False,High
Lead Engineer,WebDynamics,"Seattle, WA",Full-time,Technology,151918,253988,7,2025-11-27 00:00:00,"Agile, Git, Docker, REST APIs, TypeScript",PhD,1000+ employees,"Health Insurance, 401(k), Unlimited PTO",202953.0,27/11/2025,Seattle,WA,Não,2.435824741952367,0.5833333333333334,False,False,High
Senior Software Engineer,DigitalWorks,"San Francisco, CA",Full-time,Technology,148141,252584,9,2025-11-27 00:00:00,"Agile, Ruby, Docker, Git, JavaScript",High School,1000+ employees,"Health Insurance, 401(k), Unlimited PTO",200362.5,27/11/2025,San Francisco,CA,Não,2.3513354691333603,0.75,False,True,High
Senior Software Engineer,WebDynamics,"Seattle, WA",Part-time,Technology,147870,248059,8,2025-11-27 00:00:00,"CI/CD, Python, Kubernetes, JavaScript, SQL, Docker, Machine Learning",High School,201-500 employees,"Stock Options, Remote Work Stipend",197964.5,27/11/2025,Seattle,WA,Não,2.2731245923837067,0.6666666666666666,False,False,High
Senior Data Scientist,WebDynamics,"Seattle, WA",Part-time,Technology,149467,244158,11,2025-11-27 00:00:00,"Machine Learning, TypeScript, Node.js, Docker, Python, REST APIs, CI/CD",Associate Degree,51-200 employees,"Health Insurance, 401(k), Unlimited PTO",196812.5,27/11/2025,Seattle,WA,Não,2.2355520611011372,0.9166666666666666,False,True,High
Lead Engineer,AI Solutions,"San Francisco, CA",Contract,Technology,133652,258933,11,2025-11-27 00:00:00,"Java, Python, Machine Learning",Associate Degree,501-1000 employees,"Health Insurance, 401(k), Unlimited PTO",196292.5,27/11/2025,San Francisco,CA,Não,2.2185922379527554,0.9166666666666666,False,True,High
Lead Engineer,AI Solutions,"New York, NY",Full-time,Technology,138787,242901,5,2025-11-27 00:00:00,"TypeScript, Kubernetes, AWS, JavaScript, Go",Associate Degree,201-500 employees,"Health Insurance, 401(k), Unlimited PTO",190844.0,27/11/2025,New York,NY,Não,2.0408891679066805,0.4166666666666667,False,False,High
Project Manager,DataInc,"New York, NY",Full-time,Technology,133004,237154,2,2025-11-27 00:00:00,"TypeScript, Java, JavaScript, Kubernetes, Go",High School,501-1000 employees,"Stock Options, Remote Work Stipend",185079.0,27/11/2025,New York,NY,Não,1.8528634362712537,0.16666666666666666,False,False,High
Product Manager,EnterpriseHub,"San Francisco, CA",Contract,Technology,134354,233476,4,2025-11-27 00:00:00,"Machine Learning, MongoDB, Python, REST APIs, AWS, React, Node.js",Master's Degree,51-200 employees,"Dental, Vision, Annual Bonus",183915.0,27/11/2025,San Francisco,CA,Não,1.814899524454491,0.3333333333333333,False,False,High
